"小悪魔簡易化",""
"店員簡易化(1)",""
"小悪魔B簡易化",""
"遠見可憐戦分岐",""
"TP減少60",""
"小悪魔Aの誘惑",""
"小悪魔Bの誘惑",""
"遠見可憐の誘惑",""
"小悪魔Aの誘惑（簡易）",""
"小悪魔Bの誘惑（簡易）",""
"ロリダークエルフの誘惑",""
"ロリダークエルフの誘惑(簡易)",""
"ロリダークエルフ簡易化",""
"誘惑",""
"ダークエルフの誘惑",""
"店員簡易化(2)",""
"店員簡易化(3)",""
"店員簡易化(4)",""
"店員簡易化(5)",""
"魔剣継続",""
"炎の魔剣",""
"氷の魔剣",""
"雷の魔剣",""
"風の魔剣",""
"光の魔剣",""
"闇の魔剣",""
"雷炎の魔剣",""
"氷風の魔剣",""
"黒雷炎の魔剣",""
"白氷風の魔剣",""
"TP減少100",""
"限界魔力",""
"高木優香誘惑",""
"遠見可憐（2戦目）誘惑",""
"遠見可憐（2戦目）誘惑リベンジ",""
"可憐に敗北",""
"盗賊サキュバス誘惑",""
"盗賊サキュバス簡易化",""
"盗賊サキュバス誘惑簡易",""
"盗賊サキュバス敗北イベント",""
"ドライアド誘惑",""
"ドライアド簡易化",""
"ドライアド誘惑簡易",""
"ドライアド敗北イベント",""
"店員簡易化(6)",""
"マジックサキュバス誘惑",""
"マジックサキュバス簡易化",""
"マジックサキュバス誘惑簡易",""
"マジックサキュバス敗北イベント",""
"凛1戦目誘惑",""
"凛1戦目誘惑借りてない",""
"凛1戦目敗北",""
"凛2戦目誘惑",""
"凛2戦目敗北",""
"優香誘惑コロシアム",""
"優香コロシアム敗北",""
"六花1戦目誘惑",""
"六花1戦目敗北",""
"六花2戦目誘惑",""
"六花2戦目敗北",""
"恭子誘惑（六花解放）",""
"恭子誘惑（奴隷にしたい）",""
"恭子敗北",""
"エリクサー","Elixir"
"可憐誘惑宝箱",""
"可憐宝箱敗北",""
"PvP射精",""
"高木優香襲撃",""
"高木優香襲撃敗北",""
"難易度変更スイッチ","Difficulty Switch"
"お助け装備",""
"雷の累積",""
"魔法剣解除（スキル）",""
"魔法剣解除処理",""
"雷の一撃",""
"セーレ誘惑",""
"セーレ敗北",""
"大淫魔誘惑",""
"バニー店員簡易化(1)",""
"バニー店員簡易化(2)",""
"バニー店員簡易化(3)",""
"バニー店員簡易化(4)",""
"バニー店員簡易化(5)",""
"バニー店員簡易化(6)",""
"盗賊サキュバスメタ色仕掛け",""
"射精",""
"敗北スキル・装備セット",""
"オナニー","Masturbate"
"大淫魔敗北",""
"アイドルサキュバス誘惑",""
"アイドルサキュバス敗北",""
"神官サキュバス誘惑",""
"神官サキュバス敗北",""
"ダンタリオン誘惑",""
"ダンタリオン敗北",""
"アルフィミア誘惑",""
"アルフィミア敗北",""
"フレイ誘惑",""
"フレイ敗北",""
"フレイ射精",""
"アル(フレイ)誘惑",""
"アルを殺した",""
"アルを生かした",""
"アル(フレイ)敗北",""
"エンディング",""
"魔よけ",""
"メイドサキュバスA誘惑",""
"メイドサキュバスA敗北",""
"メイドサキュバスA敗北後誘惑",""
"戦闘スキップ",""
"メイドサキュバスB誘惑",""
"ボスサキュバス誘惑",""
"サキュバス敗北",""
"サキュバス優香誘惑",""
"サキュバス優香敗北",""
"メイドサキュバスB敗北シーン",""
"敗北後メイドサキュバスB誘惑",""
"敗北後メイドサキュバスB敗北",""
"サキュバス可憐誘惑",""
"サキュバス可憐敗北",""
"サキュバス可憐敗北後誘惑",""
"牢屋誘惑",""
"牢屋誘惑トドメ",""
"牢屋誘惑２",""
"牢屋射精",""
"試合前",""
"イベント戦分岐",""
"イベント恭子誘惑",""
"夢咲恭子イベント敗北",""
"マーシャ誘惑",""
"桃香誘惑",""
"桃香足りない",""
"桃香誘惑1-2",""
"桃香誘惑1-3",""
"桃香誘惑2-2",""
"桃香誘惑2-1",""
"バニー店員誘惑5",""
"バニー店員誘惑6",""
"メイド長誘惑",""
"メイド長敗北",""
"可憐レベルドレイン１",""
"1晩後アル（可憐）",""
"カジノレベルドレイン",""
"桃香2回目",""
"可憐レベルドレイン2",""
"2晩後アル（可憐）",""
"可憐レベルドレイン3",""
"メイドBレベルドレイン１",""
"1晩後アル（メイドB）",""
"メイドBレベルドレイン2",""
"2晩後アル（メイドB）",""
"メイドBレベルドレイン3",""
"メイドレベルドレイン1",""
"1晩後アル（メイドA）",""
"メイドレベルドレイン2",""
