"EV001",""
"EV002",""
"<六花>
『ここは夢咲恭子様のお屋敷です。
　恭子様に何か御用がある場合は、
　私が言伝を行いますのでお申し付けください。』","<Rikka>
""This is the residence of Yumesaki Kyouko. If you have
 any business with the Mistress, please tell me and
 I'll inform her."""
"『恭子様って、
　付き人さんがいるくらい偉いんだね！
　私もそれくらい偉くなってみたいなー♪』","<Al>
""This Kyouko must be pretty important when she has an
 attendant! I want to become a big shot with servants
 too♪"""
"<アル>
『この子、奴隷なんだよね…
　ずっと、その恭子様にこき使われてるのかな…』","<Al>
""This girl is a slave... I wonder if Kyouko is always
 pushing her around..."""
"<六花>
『貴方は確か…………
　い、いえ、なんでもありません。
　恭子様に何か御用でしょうか？』","<Rikka>
""Aren't you... N-No, never mind. Do you have some
 business with Mistress Kyouko?"""
"<アル>
『んー？
　どうしたんだろ、
　\n[1]に何か言いたいことでもあったのかな？』","<Al>
""Hmm? I wonder what that was? It was as if she had
 something she wanted to say..."""
"<六花>
『あ、ふふ♡
　私にカモにされちゃった、
　2層”最弱”プレイヤーさんじゃないですか♡』","<Rikka>
""Ah♡ Ahaha♡ If it isn't the weakest player on the
 second floor who lost against me♡"""
"<六花>
『こんなところまでやってきてどうしたんですか？
　また私に搾られたくなったのなら、
　コロシアムの受付で指名してくださいね♡』","<Rikka>
""What are you doing here? If you want to get drained
 again, then nominate me for a match at the
 colosseum♡"""
"<六花>
『貴方みたいな弱い人からの指名なら、
　私はいつでも大歓迎ですから♡』","<Rikka>
""I'll gladly accept a match from a weakling like
 you at anytime♡"""
"<アル>
『うぅー！！
　つ、次は\n[1]も負けないもん！
　この子を指名して、絶対リベンジしようね！』","<Al>
""Uuuh! \n[1] won't lose the next time!
 We'll have our revenge!"""
"<六花>
『ふふ♡私に馬鹿にされたくて、
　こんなところまでやってきたんですか？
　本当にどうしようもない変態ですね♡』","<Rikka>
""Ahaha♡ Did you want me to make fun of you so badly
 that you came all the way here? You're such a
 hopeless pervert♡"""
"<六花>
『わざわざこんなところに来なくても、
　コロシアムで指名してくれれば……♡
　このお口で経験値吸い出して……♡』","<Rikka>
""There's no need to come here♡ Just nominate me for
 a match at the colosseum, and..."""
"<六花>
『たくさん、馬鹿にしてあげますよ♡
　きっとすっごく情けなくて、惨めで……
　気持ちいいですよ？変態さん♡』","<Rikka>
""I'll drain your EXP with my mouth and make fun of
 you♡ I'm sure you'll love how miserable and pathetic
 that makes you feel♡ You pervert♡"""
"そう言って六花は口を開き、
妖しげに舌を動かして貴方に見せつける。
その舌の動きと嘲笑に、
貴方は思わず勃起してしまった。","After saying that, Rikka opened her mouth and
seductively moved her tongue at you. You ended up
getting an erection at the sight of her grin and
tongue movement."
"<六花>
『くす♡想像して、勃起しちゃったんですね♡
　何度でも負かしてあげますから、
　さっさと私に差し出す7000G稼いできてください♡』","<Rikka>
""Ahaha♡ You got a boner from imagining it♡ I'll make
 you lose as many times as you want, so hurry up and
 earn me that 7000G♡"""
"<アル>
『あぅ………大丈夫？\n[1]…
　つ、次こそ勝てるよね？
　私、応援してるからね！』","<Al>
""Ah... \n[1], are you alright? W-We're going
 to win the next fight, right? I'll cheer for you!"""
"<六花>
『あ……恭子様から聞きました。
　お兄さんが自分の身をかけてまで、
　私の解放のために戦うと…』","<Rikka>
""Ah... I heard it from Mistress Kyouko. You're putting
 yourself on the line to free me..."""
"<六花>
『お気持ちはすごく嬉しいですけど……
　ダメですよ、いくらお兄さんでも、
　恭子様には勝てるはずがありません…！』","<Rikka>
""I'm happy that you would do that for me... But it's
 not good. Even you won't be able to beat Mistress!"""
"<六花>
『あ……恭子様から聞きました。
　貴方が、自分の身をかけてまで私の解放のために戦うと…』","<Rikka>
""Ah... I heard it from Mistress Kyouko. You're putting
 yourself on the line to free me..."""
"<六花>
『お気持ちはすごく嬉しいですけど……
　ダメですよ、いくら貴方でも、
　恭子様には勝てるはずがありません…！』","<Rikka>
""I'm happy that you would do that for me... But it's
 not good. Even you won't be able to beat Mistress!"""
"<六花>
『……い、今からでも遅くありません！
　恭子様に謝罪して、
　取り消してもらいましょう！』","<Rikka>
""...I-It's still not too late! Please apologize to
 Mistress Kyouko and cancel the bet!"""
"<アル>
『…この子は、
　\n[1]のことを心配してくれてるんだ…
　でも……だから、ほっとけないよね！』","<Al>
""...She's really worried for you, \n[1]...
 But we can't leave her be because of that, right!"""
"そう言うアルに貴方は頷き、
六花に対して口を開いた。","You nodded to Al and told Rikka..."
"君には勝った","I won against you"
"大丈夫、必ず勝つ","Don't worry, I'll win"
"<六花>
『そうですけど……！
　恭子様は私なんかよりずっとずっと強いんです！
　私に勝ったことなんて、何の保証にもなりませんよ…！』","<Rikka>
""That's true, but... Mistress Kyouko is way stronger
 than someone like me! Defeating me won't serve as
 any kind of proof!"""
"<六花>
『なのにお兄さんは、
　自分が奴隷になるという条件まで飲んでしまって……』","<Rikka>
""And yet, you took the bet that can make you a
 slave..."""
