"EV001",""
"EV002",""
"EV003",""
"EV004",""
"EV005",""
"恭子はこのコロシアムのどこかにいるはずだ。
探し出そう。","Kyouko should be in the Colosseum. Let's find her."
"EV006",""
"EV007",""
"EV008",""
"EV009",""
"EV010",""
"魔法陣は触れても特に反応しない。","The magic circle isn't activating."
"EV011",""
"『いらっしゃいませ。ここはコロシアム受付です。
　現在マッチングを受け付けています。』","""Welcome. This is the reception desk for the Colosseum.
 Registering for the matches is currently open."""
"貴方は受付の無機質な声を出す女性に、
詳しい説明を求めた。","You asked for a detailed explanation from the robotic
receptionist."
"『こちらでプレイヤー同士の決闘を受け付けています。
　相手の指名も可能ですし、登録だけすることも可能です。』","""We accept participants for players versus player
 matches. You can register for a match or nominate
 an opponent."""
"『登録だけの場合、
　マッチングが成立した時点で連絡します。』","""If you register for a match, we'll contact you once
 there is an opponent available."""
"『現在は待機中のプレイヤーがいないので、
　指名をすることはできません。』","""Currently there are no other players registered, so
 nominating an opponent isn't available."""
"『参加をご希望の場合は、登録の方をお願いします。
　その際に掛け金7000Gを頂きます。』","""If you wish to participate in a match, you'll need to
 register. Doing so will cost 7000G."""
"<アル>
『わ、思ったより高いね…………。』","<Al>
""Woah... It's costs a lot more than I imagined..."""
"確かに少ない金額ではない。","You didn't find it a small sum either."
"<アル>
『あれ…………？
　もしかして、お金足りないんじゃない…………？』","<Al>
""Eh...? Could it be that we don't have enough money?"""
"貴方が自身の所持ゴールドを確認すると、
確かに7000Gに届いていなかった。","You checked your gold count, and it was certainly below
7000G."
"<アル>
『う～ん、でも先に進むためには参加しなきゃだよね？
　どうしよっか…………？』","<Al>
""Hmm... But we need to fight in the arena to advance
 the game, right? What should we do?"""
"貴方は受付の前で少し考えこむ。","You pondered what to do in front of the reception
desk for a while."
"<???>
『ねぇ、お兄さん♪
　ちょっといいですか？』","<???>
""Hey♪ Can I have a moment of your time?"""
"受付の前で悩む貴方に、
突然少女がニコニコと貴方に話しかけてくる。","As you were pondering at the counter, a nearby girl
called out to you in smile."
"<???>
『あ、私は早瀬凛っていいます。初めまして♪』","<???>
""Ah, my name is Hayase Rin. Nice to meet you."""
"笑顔で挨拶する少女に貴方も挨拶を返した。","You also introduced yourself to Rin."
"<凛>
『ちょっと、お悩みのようですね？
　受付の前でずっとそうしているのもなんですから、
　少し私の話を聞いてみませんか？』","<Rin>
""You seem troubled since you've been standing at the
 reception desk for a while. Could I interest you in
 a little chat?"""
"確かに、
受付の前であまり悩みすぎるのもよくないかもしれない。","Your situation certainly wasn't improving by standing
at the counter."
"貴方はそう考えてちらりと受付の女性を見つめると、
受付の女性は感情が見えない顔でじっと貴方を待っている。","As you thought that, you looked at the receptionist.
She was standing there with expressionless face
awaiting your input."
"<アル>
『まぁ、話を聞くだけならいいんじゃないかな？
　この人も、あの子みたいに親切な人なのかも！』","<Al>
""Well, why not hear what she has to say? She might be
 a gentle girl like that another one!"""
"貴方はアルの言葉に頷き、凛に了承の返事を返す。","You nodded to Al and told Rin that you would hear her
out."
"<凛>
『ありがとうございます♪
　じゃあ、そこのテーブルで話しましょうか。』","<Rin>
""Thank you very much♪ Then why don't we sit down at the
 table over there?"
"<凛>
『改めまして♪
　私の話を聞いてくれてありがとうございます。』","<Rin>
""Once more, thank you for hearing me out♪"""
"<凛>
『世間話もアレなので、単刀直入に話しますね？
　お兄さん、コロシアムの参加料が高いって、
　悩んでたんじゃないですか？』","<Rin>
""Then can I go straight to the point? Was it the high
 cost of participating in the Colosseum that troubled
 you?"""
"凛の言葉に貴方は素直にうなずく。","You honestly nodded to Rin's question."
"<凛>
『やっぱり♪えへへ、
　そう人が私のお客さんなんですよ♪』","<Rin>
""So it's as I thought. Ehehe♪ You see, people like you
 are my customers♪"""
"<凛>
『実は私、こう見えてこの町で、
　お金に困った人に融資する仕事をしているんです♪』","<Rin>
""It's my job to give loans to people who have trouble
 with money in this town♪"""
"<アル>
『ゆうし…………えっと、お金を貸す人？』","<Al>
""Um... So in other words, she's a moneylender?"""
"ニコニコと笑顔の少女はとてもそうは見えず、
貴方は首を傾げる。","The smiling girl before you looked nothing like the
moneylenders you had in mind, so you tilted your head
in confusion."
"<凛>
『あ、その顔は信じてませんね！
　そりゃ、まぁ、私って雰囲気とか、
　そういうのはないかもしれないですけど………』","<Rin>
""Ah! What's with that face! You don't believe me, do
 you? Well... I guess I don't have that kind of aura
 about me..."""
"貴方の反応に、少女はすねたように可愛らしく唇を尖らせる。
そんな少女になごみつつ、貴方は謝罪の言葉を伝えた。","Rin cutely pouted her lips at your doubts. You
apologized to her for that."
"<凛>
『ま、いいですよ。
　私自身、オーラがないのは自覚してますし、
　それに、見た目通りあんまり戦いは強くないですしね。』","<Rin>
""Well... It's fine. I'm aware that I don't have an aura
 of a moneylender... And I'm not that strong either..."""
"凛は、はぁ……とため息をついてそう言葉を漏らす。","After saying that, Rin let out a deep sigh."
"<凛>
『だから、こういう仕事をしてるんですけどね♪
　私、強さには自信ないですけど、
　人を見る目にはちょっと自信があるんです♡』","<Rin>
""But that's what I do for work♪ I might not be strong,
 but I'm confident in my ability to judge people♡"""
"凛は仕切りなおすように、
人差し指を立てて笑顔でそう宣言する。","Rin held her index finger up in smile as she got the
talk back on track."
"<凛>
『つまりですね？
　コロシアムで勝てるくらい強くて、
　なおかつお金に余裕がない…………』","<Rin>
""In other words, I look for people who are strong
 enough to win at the arena but don't have enough
 money... People like you."""
"<凛>
『そんなお兄さんみたいな人にお金を融資して、
　コロシアムで手に入れた賞金から、
　いくらかのリターンをもらうってわけですね♪』","<Rin>
""I give them a loan so that they can fight, and after
 they win, I take a portion of the prize money♪"""
"<アル>
『えへへ♪
　ってことは、
　\n[1]なら勝てるって思ってくれてるってことだよね？』","<Al>
""Ehehe♪ That means she thinks that you're strong enough
 to win at the arena, right?"""
"<アル>
『よかったね！\n[1]♪』","<Al>
""\n[1]♪ That's great!"""
"貴方はアルの言葉に少しテレを感じながら、
なるほど、と相槌を彼女に返した。","You felt slightly bashful from Al's praise while
you told Rin that you understood what she was getting
at."
"<凛>
『リターンは1割♪
　つまり、700Gを分けてもらえれば結構です♡』","<Rin>
""I'm looking for a 10% interest in return♪ In other
 words, 700G♡"""
"<凛>
『どうでしょう？
　お兄さんは私が見てきた中で、1番2番に強そうなので…
　きっと、挑むことさえできらば楽に勝てますよ♪』","<Rin>
""What do you think? You're among the strongest fighters
 I've seen, so I'm sure you can win your match with
 ease♪"""
"凛はそう言って貴方の反応をうかがう。","With that, Rin asked on your decision to take a loan."
"<アル>
『\n[1]、どうするー？』","<Al>
""\n[1], what will you do?"""
"お願いする","Take it"
"負けたらどうなる？","What if I lose?"
"断る","Refuse"
"<凛>
『ありがとうございます♪
　契約成立ですね♡』","<Rin>
""Thank you for making business with me♪"""
"<凛>
『じゃあ、この紙に魔力を込めてください♪
　この街での契約書のようなものです。』","<Rin>
""Then please pour your magic into this. It's a contract
 paper that we use in this town."""
"そう言って凛は懐から1枚の紙を取り出し、
貴方に手渡した。","After saying that, Rin took out a piece of paper and
handed it to you."
"一応内容を確認すると、
貴方は7000Gを借りること、そして、
それを1割の利子とともに試合後に返すことが記載されていた。","You looked the paper over. It recorded that you're
taking 7000G loan from Rin and you need to pay it back
with 10% interest after your next match is over."
"その紙に貴方は魔力を流し、彼女に手渡す。","You poured your mana into the paper and handed it back
to Rin."
"<凛>
『はい、確かに♪
　では、これが7000Gです。
　試合、応援していますね♡』","<Rin>
""The contract stands now♪ Here's your 7000G.
 I'm going to be cheering for you♡"""
