"こうもり*2",""
"スライム*2",""
"オーク","Orc"
"ミノタウロス","Minotaur"
"遠見可憐","Enmi Karen"
"小悪魔A","Imp A"
"小悪魔A簡易",""
"小悪魔B","Imp B"
"小悪魔B簡易",""
"ロリダークエルフ","Loli Dark Elf"
"ダークエルフ","Dark Elf"
"高木優香","Takagi Yuuka"
"遠見可憐（敗北）",""
"遠見可憐（リベンジ）",""
"遠見可憐（バッド）",""
"盗賊サキュバス","Thief Succubus"
"盗賊サキュバス簡易",""
"ドライアド","Dryad"
"ドライアド簡易",""
"マジックサキュバス","Witch Succubus"
"早瀬凛","Hayase Rin"
"早瀬凛借りてない",""
"早瀬凛2戦目",""
"高木優香・コロシアム",""
"高木優香・コロシアム弱体",""
"姫野六花","Himeno Rikka"
"姫野六花2戦目",""
"夢咲恭子（六花解放）",""
"夢咲恭子（奴隷にしたい）",""
"遠見可憐宝箱",""
"小悪魔Aイージー",""
"小悪魔Bイージー",""
"ロリダークエルフイージー",""
"ダークエルフイージー",""
"遠見可憐イージー",""
"盗賊サキュバスイージー",""
"高木優香襲撃",""
"ドライアドeasy",""
"マジックサキュバスeasy",""
"早瀬凛easy",""
"早瀬凛借りてないeasy",""
"早瀬凛2戦目easy",""
"姫野六花easy",""
"姫野六花2戦目easy",""
"夢咲恭子（六花解放）easy",""
"夢咲恭子（奴隷にしたい）easy",""
"遠見可憐宝箱easy",""
"マジックサキュバス簡易",""
"メイドサキュバスA","Maid Succubus A"
"メイドサキュバスA2戦目",""
"形を持たぬ者",""
"メイドサキュバスB","Maid Succubus B"
"サキュバス","Succubus"
"サキュバス優香戦",""
"メイドサキュバスB（再戦）",""
"サキュバス可憐",""
"サキュバス可憐2戦目",""
"夢咲恭子イベント戦",""
"メイド長","Head Maid"
"形を持たぬ者簡易",""
"形を持たぬ者イージー",""
"盗賊サキュバス体験版",""
"盗賊サキュバスイージー体験版",""
"大淫魔簡易",""
"アイドルサキュバス簡易",""
"神官サキュバス簡易",""
"セーレ簡易",""
"アル","Al"
"女神フレイ","Goddess Frey"
"テスト",""
"優香（アプデ）",""
"恭子",""
"バニーガール",""
"夏目桃香",""
"セーレ","Seele"
"大淫魔","Great Succubus"
"アイドルサキュバス","Idol Succubus"
"神官サキュバス","Priestess Succubus"
"ダンタリオン","Dantalion"
"アルフィミア","Alfimia"
"アル(フレイ)","Al(Frey)"
"\n[1]はイってしまった！","\n[1] orgasmed!"
"<アル>
『わ、\n[1]、大丈夫！？
　敵の攻撃でえっちな気分なんかになっちゃダメだよ！』","<Al>
""Ah! \n[1], are you okay?! You shouldn't get
 horny from enemies' attacks!"""
"<アル>
『ステータスに、
　興奮度ってゲージがあるのが分かる？
　それが100になったらイかされちゃうから気を付けてね！』","<Al>
""Can you see arousal gauge in your status?
 When that gets to 100, you'll orgasm, so be careful!"""
"<アル>
『え？イっちゃったらどうなるのか……
　う～ん、多分動きが鈍くなって、
　不利になっちゃうんじゃないかな？』","<Al>
""Eh? What will happen if you orgasm?
 Hmm... Your actions will get weaker probably?
 At any rate, I don't think it'll be good!"""
"【チュートリアル：射精について】
興奮度が100になると射精してしまいます。
射精してしまうとステータスが1回ごとに10％減少するので、
気を付けて戦いましょう。","【Tutorial: Orgasms】
When arousal gauge gets to 100, you'll orgasm.
Every orgasm reduces all your stats by 10% for the
current fight."
"<アル>
『\n[1]、足なんかで踏まれて、
　気持ちよくなっちゃってるみたいだね…
　おちんちん、もうすぐ射精しちゃいそうだよ？』","<Al>
""\n[1], it looks like you're feeling
 really good when she's stepping on you...
 Your dick looks like it's about to blow already."""
"<アル>
『そういう時は、
　意志を強く持って快感を耐えるんだよ！
　そうしたら、まだイかずにすむから♪』","<Al>
""At such times, you need to steel your mind and endure!
 When you do so, you can go on without orgasming♪"""
"<アル>
『ただ、無理やり抑え込んでるわけだから、
　その分エッチな攻撃に弱くなっちゃうかも？
　あんまり使いすぎないように注意してね！』","<Al>
""However, doing so will probably be a burden on your
 body and and leave you weak to sex attacks.
 Be careful not to overuse it!"""
"<アル>
『イ、イかされちゃったね……
　でも、恥ずかしがってる場合じゃないよ！
　まだ勝負がついたわけじゃないから！』","<Al>
""S-She made you orgasm... But this isn't the time to
 feel embarrassed! The fight isn't over yet!"""
"<アル>
『正直、ここまでの戦いを見てると、
　\n[1]よりあの子の方が強そうだけど…………』","<Al>
""To be honest, she seems to be stronger than you from
 the way the fight played out so far, but..."""
"<アル>
『い、一番最初の戦いで、
　女の子に負けるなんて嫌だよね？
　頑張って！\n[1]！応援してるよ！』","<Al>
""Y-You wouldn't want to lose your first fight to a
 girl, right? \n[1], do your best!
 I'm cheering for you!"""
"<可憐>
『ふふ、意外とやるね！\n[1]君！』","<Karen>
""Ahaha! \n[1]!
 You're doing surprisingly well!"""
"<可憐>
『でも、そろそろ私に誘惑されて、
　おちんぽ我慢できなくなってきたんじゃない？』","<Karen>
""But your dick can barely take any more, right?
 Isn't it about time you let me seduce you?"""
"可憐はそっと貴方の股間に足を乗せ、
ふみふみと柔らかく肉棒を愛撫する。","Karen lifted her foot up to your groin and gently
rubbed your penis with it."
"<可憐>
『このまま動かないでいてくれたら、
　足コキで気持ちよくしてあげる♡』","<Karen>
""If you stay still now, I'll make you feel amazing
 with a footjob♡"""
"<可憐>
『どう？悪い話じゃないでしょ？
　誘惑に負けて、気持ちよくなっちゃお♪』","<Karen>
""Well? It's not a bad trade, right?
 Fall for my seduction and you'll get to feel amazing♪"""
"動かない","Don't move"
"振り払う","Push her off"
"<可憐>
『くす♪男の子だもんね♡
　誘惑されたら逆らえないのは仕方ないよ♡』","<Karen>
""Ahaha♪ You're a boy after all♡
 You just can't resist it if I tempt you a little♡"""
"<可憐>
『じゃあ、動かすよ？私の足コキで腰砕けになっちゃえ♡
　それっ♪ぐりぐり♡』","<Karen>
""Then I'm going to start, okay?
 Totally lose yourself in my footjob♡"""
